adId,asin,sku,adGroupId,adGroupName,campaignId,campaignName,reportId,reportDate,recordType,userId,profileId,localProfileId,impressions,clicks,cost,attributedConversions14d,attributedConversions14dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered14dSameSKU,attributedSales14d,attributedSales14dSameSKU
242866829505920,B08CTYNSKF,DLM-RP-060720,212229939903866,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Red Purple - Auto|DLM-RP-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85236.167864e7-eb15-4a10-a54e-9323442a6ee0,2020-09-16 19:16:55 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,1094,7,8.7,2,1,2,1,19.98,8.99
242866829505920,B08CTYNSKF,DLM-RP-060720,212229939903866,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Red Purple - Auto|DLM-RP-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85226.fc4ef13a-8a84-4e5f-9d9d-45208d42a55e,2020-09-19 19:16:38 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,1118,2,2.46,2,1,2,1,17.98,8.99
242866829505920,B08CTYNSKF,DLM-RP-060720,212229939903866,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Red Purple - Auto|DLM-RP-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85205.86d249cd-60cf-49ba-90f7-bf16d2c2ccc3,2020-09-25 19:16:05 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,331,2,1.85,1,1,1,1,8.99,8.99
243191964940183,B08CTZNF73,DLM-YB-060720,34688858739500,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Auto|DLM-YB-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85220.2497ebe6-fbc9-4c18-9108-8a1ea9881860,2020-09-20 19:16:33 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,1739,12,12.68,1,1,1,1,8.99,8.99
243191964940183,B08CTZNF73,DLM-YB-060720,34688858739500,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Auto|DLM-YB-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85210.97c05307-666a-4dbb-ab51-cb3e31240778,2020-09-23 19:16:16 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,1575,14,14.41,2,2,2,2,17.98,17.98
154994139851192,B08CTYNSKF,DLM-RP-060720,229201688408943,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Red Purple - Competitor|DLM-RP-060720,55387088602495,Pet Slow Feeder Licking Mat - Competitor|TM,amzn1.clicksAPI.v1.p1.5FA85210.97c05307-666a-4dbb-ab51-cb3e31240778,2020-09-23 19:16:16 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,39,1,2.53,2,1,2,1,17.98,8.99
29296692256975,B0163DSR16,100WoodBeads001,179320681034267,500pcs Natural Wooden Beads Donut Hexagon Polygon Round Solid Wood Beads 20mm 15mm 12mm 10mm DIY Craft Making Baby Teether Unfinished Loose Bulk Lead-Free Ball Spacers - Auto|100WoodBeads001,154608605821681,500pcs Natural Wooden Beads Donut - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85220.2497ebe6-fbc9-4c18-9108-8a1ea9881860,2020-09-20 19:16:33 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,11763,51,44.5,4,4,5,5,104.95,104.95
29296692256975,B0163DSR16,100WoodBeads001,179320681034267,500pcs Natural Wooden Beads Donut Hexagon Polygon Round Solid Wood Beads 20mm 15mm 12mm 10mm DIY Craft Making Baby Teether Unfinished Loose Bulk Lead-Free Ball Spacers - Auto|100WoodBeads001,154608605821681,500pcs Natural Wooden Beads Donut - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85210.97c05307-666a-4dbb-ab51-cb3e31240778,2020-09-23 19:16:16 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,32850,108,87.75,5,5,5,5,104.95,104.95
29296692256975,B0163DSR16,100WoodBeads001,179320681034267,500pcs Natural Wooden Beads Donut Hexagon Polygon Round Solid Wood Beads 20mm 15mm 12mm 10mm DIY Craft Making Baby Teether Unfinished Loose Bulk Lead-Free Ball Spacers - Auto|100WoodBeads001,154608605821681,500pcs Natural Wooden Beads Donut - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85205.86d249cd-60cf-49ba-90f7-bf16d2c2ccc3,2020-09-25 19:16:05 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,23848,58,39.82,3,3,5,5,104.95,104.95
109977337322960,B0163DSR16,100WoodBeads001,277383434052637,Ad Group PHRASE Match,11072100585593,Collection 1 - Perpetua - B0163DSR16 - SP - Manual - 62wv34f6,amzn1.clicksAPI.v1.p1.5FA854B5.cba30b9e-08a7-498e-bc3d-3c6c7bbc4e54,2020-09-09 19:27:33 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,7954,40,23.76,5,5,5,5,104.95,104.95
